ovr,acceleration,long_passing,shot_power,weight,reactions,club,volleys,ball_control,height,team_uid,team_id,jumping,player_id,agility,long_shots,short_passing,wage,strength,name,sprint_speed,age,club_id,curve,value,stamina,fk_accuracy,potential,heading_accuracy,crossing,position,finishing,balance,starting,dribbling
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-16-158159,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-16-158159,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-16-158159,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
69,63,77,57,75,69,San Jose Earthquakes,31,65,182,111475-16-158159,111475,63,217047,63,31,79,8K,73,anibal-godoy,55,25,111928,48,1.1M,78,38,73,51,42,MID,49,62,true,64
60,72,53,55,77,48,Panama,57,62,180,111475-16-158159,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
69,67,57,70,78,65,FC Dallas,68,66,185,111475-16-158159,111475,77,174746,56,61,59,8K,77,blas-perez,64,34,695,62,550K,55,48,69,73,51,ATT,68,67,true,68
68,56,23,24,70,69,Panama,18,20,183,111475-07-154994,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-07-154994,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
71,41,63,71,88,65,Seattle Sounders FC,49,55,187,111475-07-154994,111475,55,214506,34,55,55,5K,94,roman-torres,51,32,111144,34,1.4M,50,23,71,73,39,DEF,45,32,true,34
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-07-154994,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-07-154994,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-07-154994,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-07-154994,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-07-154994,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-07-154994,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-07-154994,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-07-154994,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
68,56,23,24,70,69,Panama,18,20,183,111475-12-156644,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-12-156644,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
71,41,63,71,88,65,Seattle Sounders FC,49,55,187,111475-12-156644,111475,55,214506,34,55,55,5K,94,roman-torres,51,32,111144,34,1.4M,50,23,71,73,39,DEF,45,32,true,34
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-12-156644,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-12-156644,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-12-156644,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-12-156644,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-12-156644,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-12-156644,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-12-156644,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-12-156644,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
71,60,22,23,71,71,LA Galaxy,25,25,183,111475-15-158005,111475,55,174745,57,25,25,20K,59,jaime-penedo,52,32,697,25,1.3M,35,25,71,25,25,DEF,25,49,true,25
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-15-158005,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
69,52,62,64,96,56,Millonarios FC,38,53,185,111475-15-158005,111475,54,214506,34,54,54,10K,93,roman-torres,55,28,101105,33,825K,61,22,69,73,38,DEF,32,41,true,40
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-15-158005,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-15-158005,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-15-158005,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-15-158005,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
60,76,59,57,68,59,FC St. Pauli,55,63,175,111475-15-158005,111475,62,215163,74,38,60,5K,40,armando-cooper,76,26,110329,57,270K,51,53,62,46,60,MID,55,78,true,64
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-15-158005,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-15-158005,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,68,56,69,78,59,FC Dallas,67,65,185,111475-15-158005,111475,77,174746,57,60,58,6K,74,blas-perez,68,33,695,61,650K,60,47,68,72,50,ATT,68,67,true,67
68,56,23,24,70,69,Panama,18,20,183,111475-11-156279,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-11-156279,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
71,41,63,71,88,65,Seattle Sounders FC,49,55,187,111475-11-156279,111475,55,214506,34,55,55,5K,94,roman-torres,51,32,111144,34,1.4M,50,23,71,73,39,DEF,45,32,true,34
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-11-156279,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-11-156279,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-11-156279,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-11-156279,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-11-156279,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-11-156279,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-11-156279,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-11-156279,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
68,56,23,24,70,69,Panama,18,20,183,111475-19-159296,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-19-159296,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
71,41,63,71,88,65,Seattle Sounders FC,49,55,187,111475-19-159296,111475,55,214506,34,55,55,5K,94,roman-torres,51,32,111144,34,1.4M,50,23,71,73,39,DEF,45,32,true,34
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-19-159296,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-19-159296,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-19-159296,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-19-159296,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-19-159296,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-19-159296,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-19-159296,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-19-159296,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
68,56,23,24,70,69,Panama,18,20,183,111475-18-159068,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
68,79,57,63,75,60,New York Red Bulls,34,64,183,111475-18-159068,111475,86,237841,72,58,61,4K,71,michael-murillo,80,21,689,63,1.1M,78,49,75,61,64,DEF,32,69,true,63
72,44,63,71,88,69,Seattle Sounders FC,49,55,187,111475-18-159068,111475,55,214506,34,55,55,6K,92,roman-torres,55,31,111144,34,2.1M,55,23,72,73,39,DEF,45,32,true,34
66,75,45,50,75,64,New York Red Bulls,36,36,181,111475-18-159068,111475,75,240196,57,42,40,2K,75,fidel-escobar,78,22,689,26,750K,79,32,72,68,39,DEF,28,68,true,35
63,74,27,54,81,56,Panama,30,61,180,111475-18-159068,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,64,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-18-159068,111475,66,174732,81,61,68,2K,77,gabriel-gomez,66,33,112992,70,725K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-18-159068,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,79,66,61,68,69,Universidad de Chile,55,69,180,111475-18-159068,111475,65,215163,79,55,68,8K,56,armando-cooper,78,29,15029,65,850K,77,64,68,49,61,MID,55,76,true,75
70,50,77,73,75,69,San Jose Earthquakes,31,68,182,111475-18-159068,111475,64,217047,67,47,79,7K,73,anibal-godoy,53,27,111928,48,1.8M,78,38,70,51,42,MID,58,66,true,68
60,72,53,55,77,48,Panama,57,62,180,111475-18-159068,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-18-159068,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
69,63,22,23,71,68,LA Galaxy,25,25,183,111475-14-157655,111475,70,174745,58,25,25,10K,52,jaime-penedo,53,31,697,25,400K,36,25,70,25,25,DEF,25,49,true,25
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-14-157655,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
69,62,62,64,84,56,Millonarios FC,38,55,181,111475-14-157655,111475,47,214506,42,54,60,10K,89,roman-torres,65,27,101105,33,500K,61,22,69,73,38,DEF,32,41,true,50
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-14-157655,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-14-157655,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
70,63,70,74,82,72,Atlético Bucaramanga,58,68,183,111475-14-157655,111475,66,174732,81,61,68,1K,77,gabriel-gomez,64,34,112992,70,550K,74,69,70,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-14-157655,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-14-157655,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-14-157655,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-14-157655,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
67,67,56,69,78,59,FC Dallas,67,65,185,111475-14-157655,111475,68,174746,57,60,58,10K,66,blas-perez,68,32,695,61,350K,60,47,67,67,50,ATT,70,67,true,67
68,56,23,24,70,69,Panama,18,20,183,111475-10-156090,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
70,81,61,63,77,65,New York Red Bulls,35,68,183,111475-10-156090,111475,89,237841,80,58,65,4K,72,michael-murillo,83,22,689,64,2.2M,81,49,78,61,65,DEF,32,70,true,69
71,41,63,71,88,65,Seattle Sounders FC,49,55,187,111475-10-156090,111475,55,214506,34,55,55,5K,94,roman-torres,51,32,111144,34,1.4M,50,23,71,73,39,DEF,45,32,true,34
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-10-156090,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-10-156090,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
66,72,62,64,80,65,Os Belenenses,,68,183,111475-10-156090,111475,,174732,,64,63,0,74,gabriel-gomez,73,25,1889,,0,73,65,71,70,55,MID,60,,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-10-156090,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
68,78,66,61,72,69,Universidad de Chile,55,69,173,111475-10-156090,111475,66,215163,79,55,68,5K,56,armando-cooper,78,30,15029,65,825K,77,64,68,49,61,MID,55,76,true,75
71,47,77,73,75,70,San Jose Earthquakes,31,69,182,111475-10-156090,111475,63,217047,64,54,79,6K,71,anibal-godoy,47,28,111928,48,2.4M,78,38,71,51,42,MID,59,65,true,69
60,72,53,55,77,48,Panama,57,62,180,111475-10-156090,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
61,61,56,63,80,59,San Luis,,63,187,111475-10-156090,111475,,174746,,61,58,0,63,blas-perez,65,28,110149,,0,58,47,65,64,50,ATT,58,,true,60
68,56,23,24,70,69,Panama,18,20,183,111475-17-158729,111475,72,174745,57,10,19,0,61,jaime-penedo,48,35,111475,9,0,34,10,68,19,10,DEF,9,44,true,8
63,79,51,63,75,56,New York Red Bulls,34,58,183,111475-17-158729,111475,67,237841,66,58,54,1K,70,michael-murillo,81,20,689,57,400K,78,49,70,50,53,DEF,32,64,true,55
72,34,63,65,96,65,Seattle Sounders FC,39,54,187,111475-17-158729,111475,59,214506,34,55,55,8K,95,roman-torres,34,30,111144,34,1.5M,55,23,72,75,39,DEF,33,32,true,41
67,75,48,60,86,64,New York Red Bulls,28,40,181,111475-17-158729,111475,76,240196,62,55,47,2K,77,fidel-escobar,78,23,689,30,900K,79,40,73,70,30,DEF,25,68,true,41
63,74,27,54,81,56,Panama,30,61,180,111475-17-158729,111475,64,217045,60,31,58,0,63,eric-davis,73,26,111475,38,0,66,34,63,53,63,DEF,27,62,true,56
69,64,70,74,82,70,Atlético Bucaramanga,58,68,183,111475-17-158729,111475,66,174732,81,61,67,1K,74,gabriel-gomez,66,32,112992,70,600K,72,69,69,63,72,MID,50,62,true,64
68,83,58,67,72,64,Real Oviedo,45,66,175,111475-17-158729,111475,58,241731,82,63,67,4K,54,edgar-barcenas,81,24,110827,67,1.1M,72,54,71,40,65,MID,57,74,true,71
67,77,66,58,68,69,Toronto FC,56,67,180,111475-17-158729,111475,62,215163,78,39,68,6K,55,armando-cooper,79,28,111651,65,700K,82,64,67,47,61,MID,56,83,true,70
71,55,77,73,75,69,San Jose Earthquakes,31,68,182,111475-17-158729,111475,63,217047,63,47,79,8K,73,anibal-godoy,55,26,111928,48,1.7M,78,38,74,51,42,MID,53,62,true,65
60,72,53,55,77,48,Panama,57,62,180,111475-17-158729,111475,68,234726,74,60,57,0,58,jose-luis-rodriguez,68,19,111475,61,0,47,56,76,31,59,MID,53,73,true,66
68,65,56,69,83,65,Panama,68,66,187,111475-17-158729,111475,75,174746,64,60,62,0,80,blas-perez,63,36,111475,62,0,64,48,68,71,54,ATT,68,65,true,60
73,57,81,51,79,74,DSC Arminia Bielefeld,,51,188,111099-08-155359,111099,,165245,,21,72,0,69,rowen-fernandez,57,29,159,,0,65,13,77,21,21,DEF,21,,true,21
73,81,52,70,84,67,South Africa,,70,187,111099-08-155359,111099,,139883,,47,47,0,49,nassif-morris,83,26,111099,,0,47,37,73,73,69,DEF,54,,true,59
59,72,56,73,79,60,South Africa,,61,178,111099-08-155359,111099,,152877,,67,60,0,79,mbulelo-mabizela,70,26,111099,,0,72,35,68,54,47,DEF,25,,true,43
75,67,73,47,79,72,Blackburn Rovers,,70,188,111099-08-155359,111099,,47189,,25,84,0,51,aaron-mokoena,69,26,3,,0,73,67,78,82,26,MID,58,,true,69
70,75,65,57,70,73,Karlsruher SC,,70,174,111099-08-155359,111099,,10128,,60,62,0,56,bradley-carnell,78,30,1832,,0,69,39,74,64,73,DEF,35,,true,69
76,73,71,62,69,70,Everton,,86,176,111099-08-155359,111099,,50327,,64,78,0,52,steven-pienaar,77,25,7,,0,68,68,80,51,72,MID,61,,true,84
62,64,59,66,74,71,South Africa,,66,176,111099-08-155359,111099,,142410,,57,64,0,76,macbeth-sibaya,79,29,111099,,0,69,39,63,43,67,MID,62,,true,48
69,72,55,73,57,58,Aalborg BK,,75,165,111099-08-155359,111099,,167641,,72,70,0,58,benedict-vilakazi,72,24,820,,0,54,67,70,58,72,MID,72,,true,73
70,85,51,67,78,72,Borussia Dortmund,,71,177,111099-08-155359,111099,,10862,,66,66,0,67,delron-buckley,89,29,22,,0,70,65,78,60,74,ATT,65,,true,70
69,80,46,54,63,66,Aalborg BK,,75,169,111099-08-155359,111099,,41423,,49,66,0,60,siyabonga-nomvethe,85,29,820,,0,66,52,70,56,63,MID,64,,true,76
86,83,69,89,76,82,Blackburn Rovers,,79,182,111099-08-155359,111099,,134957,,78,80,0,80,benni-mccarthy,84,29,3,,0,77,78,85,79,67,ATT,92,,true,77
67,32,65,21,70,61,Kaizer Chiefs,,21,180,111099-09-155725,111099,,165247,,21,21,0,41,itumeleng-khune,36,21,110929,,0,40,10,81,21,21,DEF,21,,true,21
70,78,29,45,75,63,South Africa,,57,180,111099-09-155725,111099,,174402,,22,47,0,75,siboniso-pa-gaxa,80,24,111099,,0,76,29,75,66,29,DEF,31,,true,55
72,67,73,47,82,72,Blackburn Rovers,,70,185,111099-09-155725,111099,,47189,,25,84,0,51,aaron-mokoena,69,27,3,,0,73,67,78,82,26,MID,58,,true,69
75,82,53,71,74,68,RC Recreativo de Huelva,,71,176,111099-09-155725,111099,,139883,,48,48,0,67,nasief-morris,84,27,571,,0,48,63,77,74,70,DEF,55,,true,60
63,69,54,39,70,69,South Africa,,58,175,111099-09-155725,111099,,186890,,47,59,0,71,peter-tsepo-masilela,64,23,111099,,0,71,28,71,58,54,DEF,39,,true,52
64,72,54,61,74,67,South Africa,,60,176,111099-09-155725,111099,,155407,,47,56,0,66,lance-davids,79,23,111099,,0,76,36,73,46,67,MID,51,,true,61
64,57,66,66,75,65,South Africa,,65,180,111099-09-155725,111099,,186895,,53,65,0,72,kagiso-dikgacoi,57,23,111099,,0,71,42,70,68,54,MID,45,,true,53
77,68,75,81,62,87,Orlando Pirates,,85,174,111099-09-155725,111099,,182516,,84,83,0,61,teko-tsholofelo-modise,73,25,110930,,0,82,88,83,52,70,MID,46,,true,86
71,85,63,53,60,71,Kaizer Chiefs,,72,161,111099-09-155725,111099,,183883,,44,66,0,59,siphiwe-tshabalala,87,23,110929,,0,69,59,76,39,77,ATT,57,,true,63
69,73,69,64,75,53,South Africa,,74,183,111099-09-155725,111099,,174407,,62,76,0,63,siyabonga-nkosi,72,26,111099,,0,62,75,75,63,73,MID,62,,true,76
77,81,58,86,87,74,Blackburn Rovers,,80,183,111099-09-155725,111099,,134957,,68,69,0,78,benedict-mccarthy,79,30,3,,0,69,70,85,74,63,ATT,77,,true,76
67,32,65,21,70,61,Kaizer Chiefs,,21,180,111099-10-156090,111099,,165247,,21,21,0,41,itumeleng-khune,36,22,110929,,0,40,10,81,21,21,DEF,21,,true,21
70,78,29,45,75,63,South Africa,,57,178,111099-10-156090,111099,,174402,,22,47,0,75,siboniso-pa-gaxa,80,25,111099,,0,76,29,75,66,29,DEF,31,,true,55
72,67,73,47,82,72,Portsmouth,,70,185,111099-10-156090,111099,,47189,,25,84,0,51,aaron-mokoena,69,28,1790,,0,73,67,78,82,26,MID,58,,true,69
72,58,43,65,93,62,South Africa,,59,199,111099-10-156090,111099,,147533,,59,45,0,81,matthew-booth,61,32,111099,,0,76,64,76,79,33,DEF,23,,true,55
63,69,54,39,70,69,South Africa,,58,175,111099-10-156090,111099,,186890,,47,59,0,71,peter-tsepo-masilela,64,24,111099,,0,71,28,71,58,54,DEF,39,,true,52
68,67,70,66,81,65,Fulham,,73,183,111099-10-156090,111099,,186895,,53,73,0,72,kagiso-dikgacoi,73,24,144,,0,75,42,76,68,54,MID,45,,true,65
73,72,74,67,74,79,Rubin Kazan,,80,176,111099-10-156090,111099,,142410,,58,72,0,78,macbeth-sibaya,81,31,110227,,0,83,40,76,51,76,MID,66,,true,56
80,83,72,76,69,79,Everton,,87,176,111099-10-156090,111099,,50327,,70,79,0,64,steven-pienaar,76,27,7,,0,78,76,80,58,79,MID,67,,true,83
76,68,75,78,64,80,Orlando Pirates,,85,168,111099-10-156090,111099,,182516,,81,83,0,61,teko-tsholofelo-modise,73,26,110930,,0,82,84,83,52,70,MID,46,,true,86
75,74,57,85,87,71,West Ham United,,79,183,111099-10-156090,111099,,134957,,67,68,0,73,benni-mccarthy,72,31,19,,0,64,69,80,73,62,ATT,76,,true,75
69,74,68,72,62,68,FC Twente,,72,170,111099-10-156090,111099,,190471,,55,70,0,68,bernard-melvin-parker,78,23,1908,,0,69,44,75,52,64,MID,69,,true,68
70,32,55,39,70,61,Kaizer Chiefs,29,13,180,111099-11-156279,111099,41,165247,53,22,34,0,41,itumeleng-khune,36,23,110929,18,0,40,17,85,15,19,DEF,12,37,true,10
66,78,29,45,75,63,Lierse SK,15,57,178,111099-11-156279,111099,77,174402,53,22,47,0,75,siboniso-gaxa,80,26,239,43,0,76,29,75,66,39,DEF,31,68,true,65
74,67,72,47,82,70,Portsmouth,32,69,185,111099-11-156279,111099,75,47189,55,25,80,0,77,aaron-mokoena,69,29,1790,44,0,72,67,78,82,26,MID,58,71,true,69
71,77,21,42,68,76,South Africa,11,35,184,111099-11-156279,111099,76,188566,79,11,23,0,76,bongani-khumalo,73,23,111099,27,0,76,32,79,73,20,DEF,11,67,true,22
69,73,59,42,70,71,South Africa,38,70,175,111099-11-156279,111099,75,186890,70,49,65,0,71,tsepo-masilela,74,25,111099,57,0,71,28,75,59,65,DEF,39,74,true,65
65,69,64,51,75,66,Kaizer Chiefs,46,66,185,111099-11-156279,111099,71,188585,67,71,70,0,62,reneilwe-letsholonyane,66,27,110929,51,0,85,37,74,39,49,MID,40,72,true,60
72,66,70,66,80,68,Fulham,57,73,180,111099-11-156279,111099,70,186895,57,53,77,0,79,kagisho-dikgacoi,71,25,144,50,0,78,42,78,68,54,MID,45,71,true,65
75,68,75,78,64,87,Orlando Pirates,68,85,168,111099-11-156279,111099,65,182516,60,81,83,0,61,teko-modise,73,27,110930,66,0,82,84,83,52,70,MID,46,50,true,86
73,85,63,53,65,71,Kaizer Chiefs,49,72,170,111099-11-156279,111099,57,183883,73,74,72,0,59,siphiwe-tshabalala,87,25,110929,70,0,79,69,89,39,77,ATT,62,71,true,63
79,77,75,76,71,72,Everton,72,88,170,111099-11-156279,111099,60,50327,86,74,77,0,63,steven-pienaar,71,28,7,74,0,72,76,84,55,77,MID,71,74,true,88
70,79,54,82,70,66,South Africa,63,73,180,111099-11-156279,111099,60,159510,66,78,67,0,64,katlego-mphela,87,25,111099,62,0,75,65,80,52,66,ATT,66,60,true,72
